Genus	Local	pFDA
Jatrophihabitans	0	4
Thermobifida	0	3
Thermomonospora	0	2
Modestobacter	0	7
CandidatusPlanktophila	0	8
Stackebrandtia	0	2
Thermobispora	0	1
Libanicoccus	0	105
Gordonibacter	0	17
Denitrobacterium	0	1
Cryptobacterium	0	1
Acidimicrobium	0	2
Raphidiopsis	0	4
Anabaenopsis	0	1
Cyanothece	0	32
Geitlerinema	0	1
Gloeocapsa	0	6
Halothece	0	6
