Genus	Basepaws_WGS1	Basepaws_WGS2	Basepaws_WGS2SUB1	Basepaws_WGS2SUB2	Basepaws_WGS2SUB3	Bristle1	Nebula_lcWGS	SequencingDotCom_WGS	Veritas_WGS
Magnetospirillum	210	25835	514	17519	7801	1	8	0	0
Thalassospira	200	6190	103	4216	1870	1	0	0	19
CandidatusEndolissoclinum	175	219	9	130	79	1	0	0	18
Nitrospirillum	89	3080	51	2072	955	1	0	0	5
Skermanella	78	1105	26	761	318	0	0	0	2
Rhodospirillum	67	9374	147	6469	2758	0	0	0	10
Niveispirillum	62	6172	99	4187	1886	0	0	0	1
Pararhodospirillum	59	2525	51	1646	827	0	0	0	2
Tistrella	54	4635	70	3133	1432	0	1	0	0
Magnetospira	42	981	24	644	312	0	0	0	0
Ferrovibrio	39	3840	76	2648	1116	0	0	0	0
Indioceanicola	25	3298	50	2179	1068	0	6	0	0
Haematospirillum	20	724	8	478	237	0	0	0	0
Acetobacter	541	7262	127	4854	2280	4	1	0	11
Komagataeibacter	427	13387	228	9062	4097	0	3	0	24
Gluconobacter	255	1357	27	883	446	2	1	0	22
Commensalibacter	150	548	0	363	181	1	0	0	16
Granulibacter	81	2973	52	2041	879	0	0	0	23
Roseomonas	80	7145	124	4826	2195	0	4	0	5
Neokomagataea	66	1367	18	914	433	0	0	0	0
Swingsia	61	590	10	389	190	1	0	0	1
Gluconacetobacter	59	1494	32	992	469	0	1	0	7
Parasaccharibacter	48	968	17	656	294	0	2	0	1
Neoasaia	46	502	7	341	153	0	0	0	0
Acidiphilium	32	2368	45	1571	751	0	0	0	0
Stella	26	1236	16	878	341	1	0	0	3
Acidibrevibacterium	24	1728	37	1147	544	1	0	0	0
Kozakia	21	1122	12	748	361	1	2	0	2
Bombella	19	932	18	640	273	2	0	0	1
Asaia	17	567	5	409	152	1	3	0	4
Caulobacter	1722	18991	277	12931	5782	0	1	0	20
Brevundimonas	753	22078	371	14975	6731	2	3	0	28
Phenylobacterium	294	3250	59	2200	989	0	2	0	1
Asticcacaulis	82	2610	24	1832	753	0	0	0	3
Rickettsia	1135	4208	84	2623	1501	10	2	0	182
Orientia	234	580	9	372	198	1	0	0	25
CandidatusSneabacter	9	69	1	39	28	0	0	0	1
CandidatusPhycorickettsia	35	59	1	35	23	0	0	0	20
Wolbachia	447	1322	22	832	468	5	3	0	59
Ehrlichia	426	2015	34	1306	675	2	0	0	81
Anaplasma	82	227	7	151	69	0	0	0	15
Neorickettsia	47	688	10	446	231	0	0	0	6
CandidatusFokinia	27	65	1	43	20	0	0	0	1
CandidatusMidichloria	24	260	6	182	71	1	0	0	0
CandidatusDeianiraea	48	304	3	185	115	1	0	0	1
CandidatusPelagibacter	428	1806	28	1140	637	1	0	0	98
Phreatobacter	237	10398	169	7050	3179	1	1	0	4
Polymorphum	66	3688	52	2462	1173	1	0	0	7
CandidatusPuniceispirillum	50	851	12	570	268	0	0	0	0
Micavibrio	26	1674	26	1147	501	0	1	0	3
CandidatusCytomitobacter	88	442	4	284	154	1	0	0	4
CandidatusNesciobacter	42	130	0	74	56	0	0	0	1
CandidatusParacaedibacter	86	286	5	196	84	0	0	0	34
CandidatusNucleicultrix	77	253	3	169	80	0	0	0	3
Emcibacter	108	1324	18	890	414	1	3	0	4
Magnetococcus	58	1428	29	953	446	0	1	0	0
Parvularcula	25	906	9	590	306	0	0	0	0
Campylobacter	4824	86845	1278	56348	29214	1201	1035	0	687
Arcobacter	3268	15422	270	9851	5298	32	10	0	668
Halarcobacter	189	621	3	398	220	0	0	0	74
Aliiarcobacter	145	443	6	244	192	0	0	0	8
Sulfurospirillum	492	4548	75	2995	1476	2	2	0	48
Helicobacter	4072	12654	221	8192	4241	12	13	0	160
Sulfurimonas	1286	4464	80	2815	1567	3	1	0	64
Sulfuricurvum	20	197	1	140	55	0	0	0	0
Wolinella	9	1596	17	1077	501	0	0	0	16
Nitratifractor	42	2205	35	1503	666	0	0	0	0
Nautilia	222	1051	24	715	311	1	0	0	11
Cetia	95	469	4	302	162	0	1	0	9
Caminibacter	43	1489	21	977	490	2	5	0	31
Sulfurovum	52	1346	21	879	445	0	0	0	9
Nitratiruptor	46	881	18	585	277	0	0	0	1
Myxococcus	559	15955	265	10816	4873	5	1	0	18
Corallococcus	166	7589	112	5229	2246	3	1	0	52
Archangium	206	2375	27	1634	713	3	1	0	31
Cystobacter	165	3816	55	2562	1197	2	0	0	18
Melittangium	160	2042	28	1393	620	0	9	0	2
Stigmatella	113	2006	37	1351	618	1	0	0	1
Anaeromyxobacter	231	4986	79	3364	1542	1	1	0	12
Vulgatibacter	39	1670	26	1122	521	0	0	0	7
Sorangium	602	10088	123	6853	3111	8	4	0	62
Chondromyces	258	2068	40	1345	681	1	1	0	3
Pajaroellobacter	28	319	4	230	84	0	0	0	3
Minicystis	146	1804	22	1198	582	3	1	0	8
Labilithrix	116	1276	23	851	401	0	0	0	2
Sandaracinus	114	1973	15	1371	586	0	2	0	24
Haliangium	97	2623	55	1808	760	0	0	0	1
Desulfosarcina	354	8574	133	5762	2678	2	4	0	73
Desulfobacula	179	1017	11	660	345	1	2	0	22
Desulfobacter	150	1445	25	946	473	0	0	0	16
Desulfatibacillum	130	1261	11	824	425	0	0	0	1
Desulfobacterium	120	2807	48	1906	852	1	0	0	1
Desulfococcus	94	4368	82	2904	1381	0	0	0	4
Desulfocapsa	69	1024	18	691	313	1	0	0	1
Desulfobulbus	64	98260	1628	66669	29963	1	1	0	1
Desulfurivibrio	61	6297	104	4175	2018	0	0	0	3
Desulfotalea	54	1784	25	1229	529	0	0	0	2
Desulfovibrio	798	52225	849	35263	16114	3	2	0	39
Pseudodesulfovibrio	222	9202	136	6133	2930	0	2	0	16
Lawsonia	68	434	3	288	143	0	1	0	14
Desulfocurvibacter	26	1821	18	1224	577	0	3	0	3
Desulfomicrobium	84	2135141	33950	1453013	648193	3	0	0	11
Desulfohalobium	14	919	16	622	280	0	0	0	6
Geobacter	828	22376	368	15102	6905	10	7	0	276
Geoalkalibacter	62	1624	25	1124	474	0	0	0	6
Pelobacter	134	8389	121	5786	2481	0	1	0	10
Desulfuromonas	105	6512	96	4428	1987	0	1	0	27
Desulfoglaeba	90	1254	15	866	372	0	1	0	42
Syntrophobacter	47	2328	46	1534	747	2	0	0	1
Desulfomonile	48	620	8	417	195	1	0	0	10
Desulfobacca	42	603	8	393	201	0	0	0	2
Syntrophus	41	697	15	470	211	0	0	0	3
Bradymonas	83	4768	71	3293	1403	0	0	0	12
Desulfurella	73	871	16	562	292	0	0	0	15
Hippea	62	460	10	321	128	0	0	0	2
Desulfarculus	23	4380	78	2936	1365	0	0	0	2
Silvanigrella	217	316	2	202	111	1	0	0	30
Bdellovibrio	325	3148	66	2107	973	8	4	0	83
Halobacteriovorax	180	708	10	457	241	2	1	0	9
Bacteriovorax	73	532	13	328	190	3	0	0	10
Acidithiobacillus	149	12578	222	8528	3827	1	0	0	1
Mariprofundus	61	592	8	396	188	0	0	0	8
Hydrogenophilus	26	3427	50	2303	1072	0	4	0	1
Staphylococcus	2520770	41285	623	27601	13082	161	249	5269	3080
Macrococcus	354	1171	8	762	399	11	10	292	55
Auricoccus	69	832	16	516	299	1	2	58	0
Jeotgalicoccus	52	347	2	219	125	5	0	45	12
Salinicoccus	51	270	3	172	94	0	0	16	3
Paenibacillus	49081	246855	4801	163451	78513	54	41	2308	995
Cohnella	1714	3325	49	2161	1114	14	5	1100	1079
Brevibacillus	1230	7992	120	5403	2469	18	7	527	235
Saccharibacillus	159	1978	26	1317	634	2	0	51	50
Aneurinibacillus	97	870	10	580	278	3	1	96	21
Thermobacillus	41	892	7	588	296	0	0	0	0
Bacillus	23502	85200	1337	55046	28798	224	208	7986	2449
Lysinibacillus	1183	4082	50	2615	1416	18	17	490	106
Virgibacillus	1111	5771	87	3768	1915	8	8	416	96
Oceanobacillus	636	2289	19	1457	812	1	6	272	72
Geobacillus	448	7563	118	5018	2426	6	16	256	114
Anoxybacillus	330	2846	38	1928	882	7	0	81	40
Fictibacillus	307	1371	15	902	453	2	1	60	19
Halobacillus	226	971	22	618	330	5	6	128	19
Psychrobacillus	225	424	7	276	141	7	2	234	32
Parageobacillus	209	1056	22	657	375	2	9	80	39
Gracilibacillus	157	512	9	338	164	2	3	68	7
Salicibibacter	129	542	12	361	168	1	4	24	9
Paraliobacillus	125	441	3	268	170	2	0	107	24
Pontibacillus	122	923	10	594	318	6	1	35	0
Pradoshia	91	352	4	246	101	6	1	52	11
Lentibacillus	85	190	0	118	71	1	0	23	10
Amphibacillus	83	304	5	185	114	0	4	58	3
Terribacillus	70	580	12	367	200	3	0	31	8
Aeribacillus	59	179	1	123	54	2	0	23	12
Salimicrobium	43	318	6	197	114	3	4	35	7
Planococcus	634	5326	93	3568	1664	7	7	289	54
Sporosarcina	498	4016	61	2659	1295	14	5	381	123
Solibacillus	322	1723	31	1141	549	6	3	159	5
Paenisporosarcina	207	1113	21	731	361	4	6	66	13
Kurthia	189	1349	30	903	415	6	4	174	6
Jeotgalibacillus	134	617	11	395	211	6	7	101	11
Rummeliibacillus	132	427	5	287	134	1	0	92	14
Ureibacillus	112	632	13	374	243	3	3	94	30
Listeria	1772	7427	76	4756	2594	39	45	1033	113
Brochothrix	144	1028	11	701	315	5	7	120	11
Gemella	544	41292	667	26671	13941	7103	3153	151581	259
Exiguobacterium	340	3086	53	2099	934	8	0	214	37
Tumebacillus	92	989	18	651	319	2	3	23	2
Alicyclobacillus	59	1595	27	1087	480	0	0	43	2
Kyrpidia	39	832	14	569	248	0	0	18	7
Novibacillus	60	123	1	85	37	2	0	18	0
Laceyella	39	502	9	339	152	0	0	14	13
Thermoactinomyces	37	722	8	502	211	1	0	36	1
Staphylospora	23	358	5	236	117	0	0	17	37
Sporolactobacillus	63	362	6	255	100	0	0	40	9
Lactobacillus	6863	40453	551	26732	13174	259	165	7169	950
Pediococcus	389	2283	22	1509	751	8	10	336	31
Streptococcus	5510	184091	2440	120274	61376	184927	165013	5556746	1690
Lactococcus	1253	4463	55	2917	1489	74	28	1263	156
Enterococcus	3561	25780	424	16723	8629	129	54	3893	340
Vagococcus	323	1688	34	1069	584	39	11	890	40
Tetragenococcus	262	1645	20	1041	583	5	12	275	46
Melissococcus	228	425	4	261	159	9	0	215	43
Weissella	668	2793	44	1805	942	26	6	353	56
Leuconostoc	617	4066	60	2717	1288	19	11	405	64
Oenococcus	178	1340	23	883	433	6	5	82	6
Carnobacterium	794	2938	44	1854	1039	47	20	1425	69
Jeotgalibaca	236	1634	21	1079	533	26	11	650	38
Marinilactibacillus	127	1071	15	719	337	5	1	140	2
Dolosigranulum	49	646	7	437	201	83	6	1066	5
Aerococcus	258	3184	61	2068	1053	22	14	830	15
Suicoccus	30	1704	24	1138	541	8	1	252	15
Clostridium	24245	89393	1421	56624	31343	183	69	6180	2847
Alkaliphilus	363	4135	52	2735	1349	2	2	35	30
CandidatusArthromitus	327	1220	21	769	429	3	0	39	27
Caloranaerobacter	266	930	7	613	308	7	3	98	40
Crassaminicella	215	1055	10	687	357	0	0	69	14
Hathewaya	208	973	7	638	329	3	0	102	47
Caloramator	206	1180	6	756	418	1	0	28	29
Geosporobacter	205	1450	23	956	469	1	3	40	12
Hungatella	90	2276	38	1519	718	0	0	35	10
Lachnoclostridium	809	20811	321	13762	6727	17	30	272	91
Blautia	484	11968	149	7902	3916	15	20	126	54
Butyrivibrio	350	4371	86	2864	1420	1	3	64	16
Cellulosilyticum	299	1417	19	922	475	0	5	89	15
Anaerostipes	273	3119	38	1997	1083	1	3	76	7
Anaerocolumna	235	1189	17	796	374	0	0	33	7
Anaerobutyricum	169	737	8	464	265	2	8	99	10
Roseburia	141	4393	74	2844	1475	1	0	49	35
Herbinix	107	1476	16	950	509	0	0	28	8
Lachnoanaerobaculum	91	9755	133	6358	3263	46	5	80	24
Lachnospira	84	1814	27	1217	569	1	2	36	16
Anaerotignum	61	1541	22	1044	473	2	2	48	10
Pseudobutyrivibrio	50	840	13	552	274	3	1	9	3
Clostridioides	1022	21906	263	15019	6620	17	8	1570	276
Paeniclostridium	343	1838	23	1196	618	3	0	173	49
Paraclostridium	298	2733	45	1647	1041	1	0	86	44
Filifactor	246	120492	1854	79415	39226	36	14	504	20
Acetoanaerobium	149	6234	98	4099	2036	1	0	43	18
Peptoclostridium	68	2689	60	1741	887	0	0	3	3
Aminipila	1456	5315	105	3451	1759	4	1	78	24
Mogibacterium	91	6329	80	4027	2220	49	221	211	23
Thermaerobacter	98	3241	56	2225	959	0	5	48	6
Carboxydocella	87	433	6	285	141	0	0	3	1
Desulfosporosinus	395	3371	50	2266	1054	4	7	209	34
Desulfitobacterium	294	4282	84	2856	1341	0	4	43	41
Desulfotomaculum	259	2473	41	1637	794	0	2	40	9
Dehalobacter	139	1337	5	901	414	0	0	7	11
Dehalobacterium	72	839	12	549	277	0	1	44	7
Desulfofarcimen	53	425	4	280	141	0	1	110	42
Syntrophobotulus	43	1134	26	753	353	0	0	4	5
Thermincola	36	1064	12	671	379	0	0	0	1
Desulfallas	33	494	5	325	163	0	1	19	8
CandidatusDesulforudis	32	627	15	413	198	0	0	0	1
Hungateiclostridium	934	4306	52	2704	1549	8	0	181	108
Thermoclostridium	127	1800	14	1222	563	0	3	6	1
Ruminiclostridium	120	539	9	330	199	0	3	27	13
Fastidiosipila	71	2213	28	1462	722	9	7	46	5
Pseudoclostridium	68	1160	25	771	363	1	0	47	25
Mageeibacillus	9	1641	24	1074	542	3	1	14	2
Ruminococcus	331	3803	47	2494	1261	7	12	72	53
Flavonifractor	148	6268	99	4208	1959	1	0	21	20
Faecalibacterium	127	6781	86	4519	2175	5	2	71	4
Caproiciproducens	94	1317	20	878	417	0	0	1	0
Ruthenibacterium	46	3956	56	2674	1224	0	0	19	1
Ethanoligenens	44	1287	17	845	424	0	0	4	5
Eubacterium	202	6472	125	4305	2040	3	5	65	26
Acetobacterium	196	2402	30	1554	817	2	1	59	6
Intestinimonas	121	2869	38	1848	981	0	1	62	0
Massilistercora	48	3990	68	2650	1271	2	0	1	1
Flintibacter	25	1399	19	891	488	0	0	5	10
CandidatusSyntrophocurvum	116	360	4	234	121	1	0	32	23
Syntrophomonas	55	1235	25	811	398	0	0	1	3
Syntrophothermus	25	323	8	199	115	0	0	17	1
Oscillibacter	90	1468	11	1020	436	0	0	13	8
Dysosmobacter	45	2271	34	1566	671	0	0	0	0
Heliorestis	83	480	7	335	137	0	0	18	6
Heliobacterium	29	2320	24	1593	701	2	0	3	0
Petrocella	102	2455	47	1635	772	1	0	53	18
Christensenella	84	3745	59	2551	1134	0	0	32	3
Symbiobacterium	44	1499	26	971	501	0	0	4	0
Caldicellulosiruptor	811	3761	64	2406	1290	4	4	124	72
Thermoanaerobacterium	690	3912	61	2529	1321	6	4	262	64
Thermosediminibacter	49	1054	24	732	297	0	0	1	1
Thermoanaerobacter	525	2461	34	1592	833	3	1	155	63
Moorella	121	1725	28	1118	578	0	0	27	9
Ammonifex	43	1040	16	706	317	0	0	3	5
Tepidanaerobacter	81	705	15	452	237	0	0	11	6
Caldanaerobacter	49	662	11	424	227	0	0	26	2
Thermanaeromonas	48	1017	17	704	296	1	0	7	13
Carboxydothermus	20	974	15	594	364	0	1	0	2
Thermacetogenium	19	1329	33	888	407	1	0	26	6
Thermodesulfobium	114	643	11	446	185	0	0	9	5
Mahella	68	362	7	214	140	0	1	17	16
Halocella	186	337	5	218	113	4	5	126	59
Halanaerobium	181	1716	15	1094	606	2	1	85	90
Halothermothrix	88	306	2	185	119	2	1	72	28
Halobacteroides	104	604	14	400	188	1	0	48	30
Acetohalobium	94	454	5	316	132	1	1	65	28
Anoxybacter	162	1065	17	665	382	1	0	18	15
Natranaerobius	106	696	11	442	242	0	0	13	10
Pelosinus	281	1625	18	1044	562	2	7	134	21
Sporomusa	125	1054	10	685	358	0	1	7	4
Methylomusa	107	1753	15	1147	590	1	1	20	15
Megamonas	275	1100	8	728	363	4	9	77	27
Selenomonas	198	6664	88	4476	2099	42	114	257	26
Veillonella	295	2665	46	1783	835	8727	20291	1217626	483
Megasphaera	151	3317	66	2211	1039	11	32	38	16
Dialister	91	3449	43	2176	1229	1	1	60	19
Acidaminococcus	62	1705	23	1151	530	3	0	11	0
Phascolarctobacterium	29	808	10	546	251	0	0	10	9
Anaerococcus	201	4123	64	2604	1453	9	1	95	40
Peptoniphilus	196	3794	64	2533	1196	3	2	70	17
Parvimonas	176	13879	174	8899	4803	545	31	861	64
Finegoldia	150	2043	35	1253	753	3	2	60	13
Murdochiella	22	2156	40	1425	690	0	1	61	2
Sporanaerobacter	196	1194	16	764	412	1	1	35	24
Gudongella	25	797	10	515	270	1	5	41	5
Gottschalkia	207	1212	14	788	409	4	0	110	42
Ezakiella	59	911	10	598	302	1	0	10	0
Erysipelothrix	324	3746	50	2449	1247	7	0	135	16
Absiella	145	2499	45	1642	822	0	7	54	15
Longibaculum	135	2094	53	1245	1178	1	0	71	24
Turicibacter	132	915	13	602	299	4	1	82	11
Intestinibaculum	125	861	19	601	240	3	2	13	6
Faecalitalea	48	1280	20	855	408	3	0	54	14
Faecalibaculum	26	1028	21	673	335	0	0	8	3
Ndongobacter	15	1509	32	940	536	2	0	14	10
Limnochorda	67	702	14	463	224	0	0	6	1
Streptomyces	53217	349394	5334	235817	108245	199	177	6706	1230
Kitasatospora	400	5197	72	3560	1565	2	3	148	48
Streptacidiphilus	78	772	24	513	233	1	1	26	0
Mycolicibacterium	9444	63238	961	42616	19662	52	32	2404	110
Mycobacterium	3424	60136	991	40641	18498	43	42	2342	207
Mycobacteroides	390	8532	104	5643	2787	5	4	158	109
Mycolicibacter	197	6458	109	4321	2028	1	0	63	0
Hoyosella	71	3175	51	2082	1041	0	0	9	2
Mycolicibacillus	5	1720	22	1206	491	1	0	5	3
Rhodococcus	1801	38068	644	25454	11972	24	69	673	69
Nocardia	913	33899	529	23106	10264	11	22	418	130
Corynebacterium	2264	312810	5078	209146	98587	551	157	84804	230
Gordonia	740	36073	439	24082	11547	16	22	215	12
Tsukamurella	188	6456	102	4428	1925	7	0	31	1
Dietzia	156	8659	128	5779	2751	2	4	176	21
Tomitella	56	3571	56	2408	1106	0	0	52	0
Lawsonella	11	1701	22	1089	588	2	19	14	0
Segniliparus	39	509	3	354	152	0	1	36	1
Microbacterium	997	57231	879	38418	17934	41	58	899	48
Rathayibacter	475	14622	220	9919	4482	10	8	295	30
Agromyces	192	11510	161	7612	3737	2	5	117	8
Curtobacterium	189	6334	87	4168	2078	4	10	126	25
Clavibacter	144	6596	96	4459	2039	4	3	114	27
Leifsonia	127	10231	118	6908	3203	0	16	91	9
Cryobacterium	104	6548	93	4327	2127	3	6	98	4
Salinibacterium	99	4202	56	2823	1322	4	6	73	6
Plantibacter	99	2402	34	1605	762	0	4	31	0
Agrococcus	76	6002	69	4040	1893	0	1	79	14
Aurantimicrobium	76	1552	22	1026	504	1	0	22	0
Rhodoluna	63	2380	31	1571	777	5	3	37	0
CandidatusAquiluna	7	225	6	146	72	2	4	9	0
Frondihabitans	68	2323	42	1576	704	0	14	70	4
Humibacter	59	4613	88	3217	1302	5	2	56	0
Protaetiibacter	53	1696	35	1164	495	2	0	36	2
Diaminobutyricimonas	45	2361	41	1604	715	0	0	50	0
Microterricola	40	3559	60	2308	1190	11	8	437	63
Gryllotalpicola	38	2175	40	1463	671	0	0	28	0
Leucobacter	36	4636	86	3145	1405	43	4	328	1
Lysinimonas	30	1379	21	930	428	0	0	20	0
Mycetocola	27	966	15	644	305	0	0	6	0
Marisediminicola	26	939	7	628	303	1	3	16	1
Cnuibacter	26	4936	61	3240	1636	4	0	35	0
Microcella	17	2006	25	1373	607	0	0	5	1
Pontimonas	10	991	15	668	306	0	0	18	1
Arthrobacter	810	35476	514	23845	11117	28	98	547	75
Pseudarthrobacter	385	11716	179	7868	3668	4	26	84	23
Micrococcus	278	8369	110	5687	2570	6	39	453	23
Kocuria	208	23490	378	15644	7469	16	137	208	15
Rothia	171	4414	57	2881	1475	43264	48451	852244	496
Glutamicibacter	150	10800	189	7229	3381	4	23	164	5
Nesterenkonia	44	894	16	581	296	0	4	9	0
Sinomonas	34	1919	34	1268	616	1	4	19	6
Paenarthrobacter	29	337	0	265	69	3	0	65	0
Renibacterium	24	1521	26	1029	466	1	2	22	0
Psychromicrobium	22	1079	17	724	336	0	4	23	0
Zhihengliuella	18	3164	37	2212	910	0	1	5	1
Auritidibacter	12	660	9	431	219	0	2	6	13
Neomicrococcus	11	1244	20	822	401	2	8	12	0
Serinicoccus	254	8539	125	5717	2696	3	6	89	14
Ornithinimicrobium	174	14497	262	9724	4510	8	4	89	2
Janibacter	114	5630	83	3772	1774	2	3	62	7
Tetrasphaera	71	1879	31	1258	589	1	4	66	2
Intrasporangium	36	2684	38	1793	852	2	0	31	1
Phycicoccus	33	1911	30	1252	628	0	5	29	5
Arsenicicoccus	13	3769	57	2591	1121	0	0	23	2
Brachybacterium	404	16746	227	11248	5270	14	14	402	13
Dermabacter	163	12820	180	8680	3959	11	16	83	0
Devriesea	28	1202	17	762	422	4	2	31	2
Cellulomonas	378	23225	440	15584	7201	20	24	341	18
Oerskovia	71	2620	33	1763	823	2	0	48	4
Pseudactinotalea	44	2446	37	1630	779	2	1	71	2
Paraoerskovia	29	1807	24	1212	570	4	0	28	1
Isoptericola	104	5682	45	3727	1910	11	1	89	2
Cellulosimicrobium	89	6291	105	4236	1949	5	0	97	1
Xylanimonas	55	5856	69	3949	1837	10	6	210	7
Xylanimicrobium	39	2596	46	1710	839	2	0	34	1
Brevibacterium	255	16090	242	10811	5037	96	20	989	14
Georgenia	164	13090	223	8732	4135	13	20	289	8
Jonesia	104	1609	16	1097	495	1	1	12	1
Luteipulveratus	49	2820	60	1936	823	0	1	19	1
Kytococcus	25	3586	59	2329	1198	2	0	38	0
Dermacoccus	12	2166	30	1369	767	1	43	23	2
Haloactinobacterium	43	5188	76	3498	1613	6	2	65	1
Ruania	38	3576	64	2383	1128	5	0	76	0
Beutenbergia	40	1654	25	1076	552	2	4	62	0
Miniimonas	31	6509	75	4564	1867	1	5	56	0
Austwickia	43	2737	68	1790	878	0	0	10	2
Dermatophilus	14	1893	24	1301	567	0	1	1	1
Luteimicrobium	38	2060	44	1340	675	1	2	41	7
Tropheryma	9	161	5	107	48	0	0	0	0
Sanguibacter	23	3447	62	2205	1181	0	3	56	1
Cutibacterium	1505	11706	201	7831	3684	65	1980	1071	2
Pseudopropionibacterium	361	43148	580	27992	14557	843	14	32588	3
Microlunatus	236	11412	165	7720	3527	6	3	141	12
Acidipropionibacterium	171	16973	301	11482	5212	12	8	329	7
Propionibacterium	108	29095	317	18952	9778	21	11	350	24
Tessaracoccus	102	55524	925	37084	17530	19	2	477	0
Auraticoccus	89	4612	72	3135	1406	0	2	34	4
Raineyella	41	3326	41	2360	925	2	2	33	1
Propionimicrobium	23	833	18	542	272	0	1	14	1
Nocardioides	914	37613	537	25275	11800	18	19	486	26
Aeromicrobium	243	11842	173	8030	3638	4	9	165	16
Friedmanniella	124	6298	105	4244	1949	2	4	100	4
Kribbella	70	2417	41	1664	712	2	2	17	4
Actinopolymorpha	55	1103	23	685	394	0	0	25	2
Pimelobacter	44	2563	36	1782	744	0	1	34	2
Micropruina	40	4665	91	3141	1434	4	3	61	1
Marmoricola	19	983	17	673	292	0	0	12	0
Micromonospora	1348	38282	603	25924	11755	23	22	797	93
Actinoplanes	829	20116	334	13520	6262	6	12	319	52
Plantactinospora	391	7513	94	5215	2203	1	0	67	16
Salinispora	102	1388	20	940	427	1	0	54	6
Verrucosispora	76	1547	29	1062	456	0	0	27	0
Amycolatopsis	708	20641	285	13806	6548	15	10	270	57
Pseudonocardia	421	11292	157	7843	3291	8	7	211	35
Saccharomonospora	256	10350	163	7036	3150	3	6	148	17
Saccharothrix	233	4793	55	3268	1468	1	2	62	17
Actinoalloteichus	232	4776	59	3236	1481	0	1	51	7
Actinosynnema	159	4272	79	2876	1317	0	0	95	21
Lentzea	117	3761	61	2586	1113	4	1	36	2
Kibdelosporangium	110	3021	49	2037	934	0	8	34	1
Kutzneria	110	2111	39	1381	690	0	2	50	22
Saccharopolyspora	98	5068	72	3429	1566	8	1	43	8
Alloactinosynnema	80	3398	55	2277	1064	4	0	42	22
Allokutzneria	61	2990	42	2089	858	1	0	41	2
Prauserella	56	790	9	552	228	3	2	33	9
Actinomyces	943	199110	2972	133084	63053	4338	7224	694576	187
Schaalia	126	46973	688	31419	14866	17023	10323	161088	95
Trueperella	66	10161	154	6636	3370	6	1	136	1
Flaviflexus	58	5093	92	3355	1645	8	9	76	1
Arcanobacterium	41	4944	88	3230	1625	2	0	17	0
Mobiluncus	26	2192	46	1461	685	4	1	26	0
Actinobaculum	7	1465	27	988	449	4	2	43	1
Actinotignum	3	1654	25	1092	535	0	1	20	3
Nonomuraea	242	10723	155	7276	3292	3	2	130	39
Streptosporangium	239	7339	93	5125	2119	2	4	84	15
Nocardiopsis	275	9120	148	6050	2921	5	5	99	29
Streptomonospora	75	2022	24	1355	642	2	1	52	17
Thermobifida	41	2254	41	1512	699	0	1	10	2
Actinomadura	312	9979	144	6734	3100	2	0	70	7
Thermomonospora	77	6253	97	4264	1891	2	1	18	4
Bifidobacterium	678	22670	339	15269	7062	26	22	1174	76
Gardnerella	127	2032	19	1352	660	5	3	45	9
Scardovia	48	476	5	305	164	0	0	4	0
Parascardovia	7	622	10	394	218	1	2	54	0
Frankia	490	9227	116	6350	2761	7	6	192	64
Jatrophihabitans	57	838	17	563	257	0	3	19	10
Catenulispora	248	4832	79	3252	1500	5	3	543	126
CandidatusPlanktophila	149	2294	35	1501	756	8	2	108	3
CandidatusNanopelagicus	91	837	15	550	271	0	0	0	2
Blastococcus	120	2066	37	1367	661	1	2	23	0
Geodermatophilus	62	4894	78	3223	1592	1	0	9	0
Modestobacter	41	2535	32	1680	823	4	4	99	42
Jiangella	203	7860	114	5300	2445	2	3	116	1
Nakamurella	158	5661	98	3799	1762	0	2	80	13
Stackebrandtia	74	2029	27	1373	628	0	7	80	7
Kineococcus	60	3079	41	1987	1049	1	0	53	9
Actinopolyspora	50	893	11	589	292	0	0	3	1
Thermobispora	36	2096	52	1385	659	1	2	57	6
Acidothermus	18	167	3	110	54	0	2	9	1
Epidermidibacterium	8	1404	17	945	441	0	0	11	0
Gordonibacter	75	2619	46	1767	805	2	1	29	9
Eggerthella	65	1450	21	1001	426	5	2	26	0
Adlercreutzia	50	1679	23	1088	568	1	0	12	3
Slackia	49	1357	27	888	441	0	0	13	1
Arabia	33	137	2	97	38	0	0	10	0
Denitrobacterium	25	801	10	543	248	0	1	2	0
Cryptobacterium	11	1621	20	1099	501	0	1	1	0
Phoenicibacter	8	30	1	22	6	0	0	0	0
Olsenella	77	4562	84	3055	1424	1	7	169	4
Parolsenella	47	971	15	662	292	0	8	23	3
Atopobium	31	477	8	290	178	110	168	1024	7
Libanicoccus	21	1889	25	1282	578	0	0	11	0
Collinsella	34	1961	36	1316	608	1	0	76	0
Coriobacterium	33	236	3	161	72	0	2	12	0
Rubrobacter	197	2278	38	1558	680	0	1	14	4
Baekduia	56	2348	40	1623	684	1	1	47	3
Egibacter	78	1116	30	748	337	2	0	24	5
Euzebya	64	2105	37	1400	667	0	1	23	5
Egicoccus	24	1059	7	702	348	1	6	10	1
Ilumatobacter	33	1227	12	841	373	1	0	5	0
Acidimicrobium	32	1014	16	689	308	0	1	3	1
Conexibacter	52	1768	17	1202	548	0	0	33	5
Nostoc	2896	0	0	0	0	29	25	0	892
Anabaena	494	0	0	0	0	0	4	0	41
Trichormus	390	0	0	0	0	0	0	0	12
Cylindrospermum	160	0	0	0	0	0	0	0	11
Calothrix	1846	0	0	0	0	7	7	0	160
